timestamp,station_id,name,bikes_available,docks_available
2026-08-18T12:03+00:00,smoove:575,Tontunmäentie,7,9
2026-08-18T12:03+00:00,smoove:212,Tunnelitie,1,11
2026-08-18T12:03+00:00,smoove:333,Kivikonkaari,3,11
2026-08-18T12:03+00:00,smoove:213,Huopalahden asema,1,17
2026-08-18T12:03+00:00,smoove:334,Varustuksentie,0,14
2026-08-18T12:03+00:00,smoove:577,Olarinluoma,26,0
2026-08-18T12:03+00:00,smoove:214,Valimon asema,6,14
2026-08-18T12:03+00:00,smoove:335,Kurkimäentie,2,14
2026-08-18T12:03+00:00,smoove:215,Pitäjänmäen asema,1,15
2026-08-18T12:03+00:00,smoove:336,Kivikonlaita,0,16
2026-08-18T12:03+00:00,smoove:579,Niittymaa,29,0
2026-08-18T12:03+00:00,smoove:216,Jännetie,1,11
2026-08-18T12:03+00:00,smoove:337,Kivikon liikuntapuisto,1,15
2026-08-18T12:03+00:00,smoove:571,Tapiolan urheilupuisto,10,22
2026-08-18T12:03+00:00,smoove:107,Tenholantie,3,15
2026-08-18T12:03+00:00,smoove:349,Postiljooninkatu,2,14
2026-08-18T12:03+00:00,smoove:228,Kustaankartano,0,12
2026-08-18T12:03+00:00,smoove:108,Radiokatu,4,8
2026-08-18T12:03+00:00,smoove:229,Käskynhaltijantie,8,8
2026-08-18T12:03+00:00,smoove:109,Hertanmäenkatu,8,12
2026-08-18T12:03+00:00,smoove:583,Haukilahdensolmu,10,6
2026-08-18T12:03+00:00,smoove:220,Ida Aalbergin tie,3,15
2026-08-18T12:03+00:00,smoove:341,Heikinlaakso,2,14
2026-08-18T12:03+00:00,smoove:100,Teljäntie,14,0
2026-08-18T12:03+00:00,smoove:221,Thalianaukio,0,15
2026-08-18T12:03+00:00,smoove:342,Puistolan VPK,1,17
2026-08-18T12:03+00:00,smoove:101,Munkkivuoren ostoskeskus,6,18
2026-08-18T12:03+00:00,smoove:585,Haukilahdenaukio,26,0
2026-08-18T12:03+00:00,smoove:222,Huovitie,10,2
